r,s,t,l,max_principal,loc_x,loc_y,loc_z,dir_x,dir_y,dir_z,root_name,order,abs_dir_z
0.03,0.0,0.0133,-0.015,26.15569305419922,0.0,-2.8194,6.447617,0.05824282303728436,0.005567305657419771,0.9982869220180964,r003t00133l-0015,60.0,0.9982869220180964
0.03,0.0,0.0067,0.0,26.798009872436523,0.0,-2.8194,6.447617,0.08146005818146873,0.009590722810437187,0.996630461583954,r003t00067,87.0,0.996630461583954
0.03,0.0,0.0,-0.015,25.876079559326172,3.048,-2.61009,6.6005899999999995,0.1562281321380108,0.0020849960181268164,-0.9877187977963529,r003l-0015,42.0,0.9877187977963529
0.03,0.0,0.02,-0.015,28.407245635986328,0.0,-2.8194,6.447617,0.16181181058806912,0.038257130585010034,0.9860797786759508,r003t002l-0015,69.0,0.9860797786759508
0.03,0.0,0.0067,-0.015,26.02826499938965,3.048,-2.61009,6.6005899999999995,0.1707942300656328,0.00336631882309245,-0.9853009686760026,r003t00067l-0015,51.0,0.9853009686760026
0.03,0.0,0.0133,0.0,28.644569396972656,0.0,-2.8194,6.447617,0.1774456444227008,0.04324180949265431,0.9831801407612002,r003t00133,96.0,0.9831801407612002
0.015,0.0,0.0067,0.0,14.336288452148438,0.0,-2.8194,6.447617,0.1791915189294094,0.04406630482332173,0.982826821125161,r0015t00067,84.0,0.982826821125161
0.03,0.0,0.0,0.015,26.32538414001465,0.0,-2.8194,6.447617,0.19219903401779675,0.01661282962560348,-0.9812153408984476,r003l0015,114.0,0.9812153408984476
0.03,0.0,0.0,0.03,28.02438163757324,0.0,-2.8194,6.447617,0.2624347618457256,0.04864376012773315,-0.96372287529954,r003l003,150.0,0.96372287529954
0.015,0.0,0.0,0.015,14.01219081878662,0.0,-2.8194,6.447617,0.2624347618457256,0.04864376012773315,-0.96372287529954,r0015l0015,111.0,0.96372287529954
