r,s,t,l,max_principal,loc_x,loc_y,loc_z,dir_x,dir_y,dir_z,root_name,order,abs_dir_z
0.015,0.0,0.0067,-0.015,14.156272888183596,3.048,-2.61009,6.6005899999999995,0.3325014601516536,0.013979983868448072,-0.9429991193251752,r0015t00067l-0015,48.0,0.9429991193251752
0.03,0.0,0.0,-0.03,27.527496337890625,3.048,-2.61009,6.6005899999999995,0.35579763905354084,0.012583123253569688,-0.9344783063576764,r003l-003,6.0,0.9344783063576764
0.015,0.0,0.0,-0.015,13.763748168945312,3.048,-2.61009,6.6005899999999995,0.35579763905354084,0.012583123253569688,-0.9344783063576764,r0015l-0015,39.0,0.9344783063576764
0.03,0.0,0.02,0.0,30.52484130859375,0.0,-2.8194,6.447617,0.331498527837161,0.13994538453860494,0.93301876475671,r003t002,105.0,0.93301876475671
0.015,0.0,0.0,0.03,15.71916961669922,0.0,-2.8194,6.447617,0.3704938453959463,0.19174167022843894,-0.9088286100369712,r0015l003,147.0,0.9088286100369712
0.03,0.0,0.0133,-0.03,28.32807159423828,3.048,-2.61009,6.6005899999999995,0.4349888322564695,0.01825813693566112,-0.9002507185488894,r003t00133l-003,24.0,0.9002507185488894
0.015,0.0,0.02,-0.015,15.67200756072998,0.0,-2.8194,6.447617,0.4169819072016007,0.2270986649513023,0.8800865215669716,r0015t002l-0015,66.0,0.8800865215669716
0.015,0.0,0.0,-0.03,15.415855407714846,3.048,-2.61009,6.6005899999999995,0.484203328915321,0.0578297456222908,-0.8730422995414271,r0015l-003,3.0,0.8730422995414271
0.03,0.0,0.0067,0.015,31.549976348876953,0.0,-2.8194,6.447617,0.4636022483117028,0.2458081679736929,0.8512645299304741,r003t00067l0015,123.0,0.8512645299304741
0.03,0.0,0.0067,-0.03,29.3541202545166,3.048,-2.61009,6.6005899999999995,0.6048041404065847,0.03074127865473921,-0.7957807019108492,r003t00067l-003,15.0,0.7957807019108492
