r,s,t,l,max_principal,loc_x,loc_y,loc_z,dir_x,dir_y,dir_z,root_name,order,abs_dir_z
0.0,0.0,0.0133,0.015,25.594741821289066,0.0,-2.8194,6.447617,0.4292592221846812,0.9031434311857538,-0.008274229597132057,t00133l0015,126.0,0.008274229597132057
0.0,0.005,0.0133,0.0,22.158790588378906,-0.132109,-2.95151,5.759958,0.6808734816924807,0.7323546674149137,0.00824275703573632,s0005t00133,91.0,0.00824275703573632
0.0,0.005,0.02,-0.015,19.839954376220703,-0.132109,-2.95151,5.759958,0.685283384789715,0.7282307378234631,0.00816547734343058,s0005t002l-0015,64.0,0.00816547734343058
0.0,0.0,0.0133,0.03,37.34904098510742,0.0,-2.8194,6.447617,0.4227863000819725,0.9061927456323282,0.00815182349777267,t00133l003,162.0,0.00815182349777267
0.0,0.0,0.0067,0.015,18.72654151916504,0.0,-2.8194,6.447617,0.4228538230139107,0.906161256992326,0.008149888870883314,t00067l0015,117.0,0.008149888870883314
0.0,0.0,0.02,0.03,44.32072830200195,0.0,-2.8194,6.447617,0.4265920096453394,0.9044084238671434,0.008041153207116814,t002l003,171.0,0.008041153207116814
0.03,0.01,0.0133,0.015,51.70529556274414,-0.133193,-2.9525930000000002,6.349957,0.7258404200761644,0.6878207519798124,-0.007635294989872377,r003s001t00133l0015,134.0,0.007635294989872377
0.015,0.01,0.0,0.03,17.584953308105472,-0.133193,-2.9525930000000002,6.349957,0.7296668463973927,0.6837616686004878,-0.007501587909257285,r0015s001l003,149.0,0.007501587909257285
0.015,0.005,0.0133,-0.03,20.650447845458984,3.048,-2.61009,6.6005899999999995,0.8711310230392809,0.4909946412392768,0.007416398913851666,r0015s0005t00133l-003,22.0,0.007416398913851666
0.0,0.0,0.0067,0.0,5.801775932312013,0.0,-2.8194,6.447617,0.454357430901085,0.890791549870757,0.007052635239418631,t00067,81.0,0.007052635239418631
