r,s,t,l,max_principal,loc_x,loc_y,loc_z,dir_x,dir_y,dir_z,root_name,order,abs_dir_z
0.03,0.01,0.0,-0.03,32.846725463867195,3.048,-2.61009,6.6005899999999995,-0.935957756196121,-0.08165051487564802,0.3425146303982708,r003s001l-003,8.0,0.3425146303982708
0.03,0.005,0.0,0.03,28.27042579650879,-0.133192,-2.9525930000000002,6.154656,0.9044398783965668,0.3391989220897206,0.2587133502917377,r003s0005l003,151.0,0.2587133502917377
0.03,0.005,0.0,0.0,28.601266860961914,-0.133192,-2.9525930000000002,6.154656,0.8962148099460671,0.3698469768580071,0.2449739335976945,r003s0005,79.0,0.2449739335976945
0.015,0.0,0.0067,-0.03,17.52988624572754,3.048,-2.61009,6.6005899999999995,0.8445277825927157,0.4967609457602424,-0.2000034679609844,r0015t00067l-003,12.0,0.2000034679609844
0.015,0.005,0.0,0.015,14.60791301727295,-0.133192,-2.9525930000000002,6.154656,0.8885586709327363,0.4282029052570576,0.16463827088397415,r0015s0005l0015,112.0,0.16463827088397415
0.03,0.01,0.0,0.03,29.2158260345459,-0.133192,-2.9525930000000002,6.154656,0.8885586722169371,0.4282029058743921,0.16463826234748766,r003s001l003,152.0,0.16463826234748766
0.03,0.005,0.0,0.015,27.512451171875,-0.133192,-2.9525930000000002,6.154656,0.9496518358942893,0.2774450588517419,-0.14555284229914384,r003s0005l0015,115.0,0.14555284229914384
0.03,0.005,0.0067,-0.015,30.35313606262207,-0.133192,-2.9525930000000002,6.154656,0.8476873950670942,0.5161945219687725,0.122349073285394,r003s0005t00067l-0015,52.0,0.122349073285394
0.015,0.005,0.0,0.0,15.182334899902346,-0.133192,-2.9525930000000002,6.154656,0.8417038241906538,0.5265314682811155,0.11957961888449573,r0015s0005,76.0,0.11957961888449573
0.03,0.01,0.0,0.0,30.36466979980469,-0.133192,-2.9525930000000002,6.154656,0.8417038241906538,0.5265314682811155,0.11957961888449573,r003s001,80.0,0.11957961888449573
