r,s,t,l,max_principal,loc_x,loc_y,loc_z,dir_x,dir_y,dir_z,root_name,order,abs_dir_z
0.03,0.005,0.0067,0.015,37.20956039428711,-0.132109,-2.95151,5.759958,0.6949477522497124,0.7190464545582069,0.0044517221773872325,r003s0005t00067l0015,124.0,0.0044517221773872325
0.015,0.005,0.0067,-0.015,17.30636215209961,-0.132109,-2.95151,5.759958,0.7218587313330507,0.6920268362733308,-0.004339340475609121,r0015s0005t00067l-0015,49.0,0.004339340475609121
0.0,0.005,0.02,-0.03,15.464756965637207,3.048,-2.61009,6.6005899999999995,0.7424743971350215,0.6698608627468995,0.004265461166830558,s0005t002l-003,28.0,0.004265461166830558
0.0,0.01,0.0067,-0.03,24.93058204650879,3.048,-2.61009,6.6005899999999995,0.8752458302043853,0.483660496846811,0.004154575758424435,s001t00067l-003,11.0,0.004154575758424435
0.03,0.005,0.0133,-0.015,32.49408721923828,-0.132109,-2.95151,5.759958,0.7432956286266537,0.6689524839723662,-0.0037659861535966265,r003s0005t00133l-0015,61.0,0.0037659861535966265
0.03,0.01,0.0067,-0.015,34.826000213623054,-0.133193,-2.9525930000000002,6.349957,0.7270152286683809,0.686612007712038,-0.00357884756674937,r003s001t00067l-0015,53.0,0.00357884756674937
0.03,0.005,0.0067,0.03,42.854888916015625,-0.132109,-2.95151,5.759958,0.682224378135084,0.7311358133852474,0.003212516722227284,r003s0005t00067l003,160.0,0.003212516722227284
0.03,0.005,0.0133,0.0,41.69120407104492,-0.132109,-2.95151,5.759958,0.6841422449390797,0.7293421850852008,0.0030603504473714674,r003s0005t00133,97.0,0.0030603504473714674
0.03,0.005,0.02,0.0,47.017738342285156,-0.132109,-2.95151,5.759958,0.6829688934186723,0.7304419425055121,0.002838882042032434,r003s0005t002,106.0,0.002838882042032434
0.03,0.005,0.02,0.015,48.25771713256836,-0.132109,-2.95151,5.759958,0.6825143170599665,0.7308667958271542,0.002816694075761203,r003s0005t002l0015,142.0,0.002816694075761203
