r,s,t,l,max_principal,loc_x,loc_y,loc_z,dir_x,dir_y,dir_z,root_name,order,abs_dir_z
0.015,0.005,0.0067,0.015,28.97045516967773,-0.132109,-2.95151,5.759958,0.6821019893196714,0.7312549202720043,0.0017657134907751945,r0015s0005t00067l0015,121.0,0.0017657134907751945
0.015,0.005,0.02,0.0,37.6454963684082,-0.132109,-2.95151,5.759958,0.6816714519153628,0.7316564997498706,0.0016727275237762333,r0015s0005t002,103.0,0.0016727275237762333
0.015,0.005,0.0067,0.0,27.01751708984375,-0.132109,-2.95151,5.759958,0.6832522156654247,0.7301805754950411,0.0016543754164450588,r0015s0005t00067,85.0,0.0016543754164450588
0.015,0.01,0.0133,-0.03,25.62439155578613,-0.132109,-2.95151,5.759958,0.6972832482202822,0.7167938197922976,-0.0016406276053768632,r0015s001t00133l-003,23.0,0.0016406276053768632
0.015,0.01,0.0,0.0,19.38993263244629,-0.133193,-2.9525930000000002,6.349957,0.7215836756391907,0.6923254129480941,0.0015879663994950875,r0015s001,77.0,0.0015879663994950875
0.03,0.01,0.02,0.0,59.3050422668457,-0.132109,-2.95151,5.759958,0.6827019133579588,0.7306953219414353,0.0015633266723244187,r003s001t002,107.0,0.0015633266723244187
0.03,0.01,0.02,0.03,63.68855667114258,-0.132109,-2.95151,5.759958,0.6816209155983249,0.7317040044946804,0.0014755423916832154,r003s001t002l003,179.0,0.0014755423916832154
0.015,0.005,0.0133,0.015,34.719532012939446,-0.132109,-2.95151,5.759958,0.6812510727685812,0.7320484303263788,0.0014392735466926447,r0015s0005t00133l0015,130.0,0.0014392735466926447
0.015,0.005,0.0067,-0.03,23.337261199951172,3.048,-2.61009,6.6005899999999995,0.9330101063493318,0.3598473092838313,-0.0014336844824597613,r0015s0005t00067l-003,13.0,0.0014336844824597613
0.015,0.01,0.0067,-0.015,26.00272560119629,-0.133193,-2.9525930000000002,6.349957,0.7025298503246724,0.7116528995602248,-0.001399982256348209,r0015s001t00067l-0015,50.0,0.001399982256348209
