r,s,t,l,max_principal,loc_x,loc_y,loc_z,dir_x,dir_y,dir_z,root_name,order,abs_dir_z
0.03,0.005,0.0133,0.015,42.446231842041016,-0.132109,-2.95151,5.759958,0.6837163057574903,0.7297433623742678,0.002576492194483493,r003s0005t00133l0015,133.0,0.002576492194483493
0.03,0.005,0.0133,0.03,48.58197402954102,-0.132109,-2.95151,5.759958,0.6812702929892354,0.7320275593077884,0.002537775451802477,r003s0005t00133l003,169.0,0.002537775451802477
0.0,0.0,0.0067,0.03,30.483285903930664,0.0,-2.8194,6.447617,0.4174159138120245,0.9087121207782932,-0.002497287946804992,t00067l003,153.0,0.002497287946804992
0.0,0.0,0.0067,-0.015,7.116299152374268,3.048,-2.60858,6.4107,0.21674130028247024,0.9762270682657224,-0.001979883121903576,t00067l-0015,45.0,0.001979883121903576
0.0,0.0,0.0133,-0.03,14.282082557678224,3.048,-2.60858,6.4107,0.21734538158460556,0.9760927990142908,-0.0019577579751805197,t00133l-003,18.0,0.0019577579751805197
0.03,0.01,0.0067,0.03,52.11086654663086,-0.132109,-2.95151,5.759958,0.6827687937398647,0.730632020585703,0.0019038880910045523,r003s001t00067l003,161.0,0.0019038880910045523
0.03,0.005,0.02,-0.015,36.60415267944336,-0.132109,-2.95151,5.759958,0.7013733463344484,0.7127918068826157,0.0018080632272906754,r003s0005t002l-0015,70.0,0.0018080632272906754
0.03,0.01,0.0067,0.0,48.69088745117188,-0.132109,-2.95151,5.759958,0.6840229433148155,0.7294582648998372,0.0018035487949448505,r003s001t00067,89.0,0.0018035487949448505
0.015,0.005,0.0133,0.0,32.289199829101555,-0.132109,-2.95151,5.759958,0.6822809907644309,0.7310878886174581,0.0017744741118500829,r0015s0005t00133,94.0,0.0017744741118500829
0.03,0.01,0.0133,0.03,57.85384750366211,-0.132109,-2.95151,5.759958,0.6821103692810087,0.7312470995905599,0.0017673312422067532,r003s001t00133l003,170.0,0.0017673312422067532
