r,s,t,l,max_principal,loc_x,loc_y,loc_z,dir_x,dir_y,dir_z,root_name,order,abs_dir_z
0.03,0.005,0.0067,-0.03,32.24209213256836,3.048,-2.61009,6.6005899999999995,-0.9876258833445388,-0.10314243943986666,-0.1181386970230864,r003s0005t00067l-003,16.0,0.1181386970230864
0.03,0.01,0.0,0.015,28.45598030090332,-0.133192,-2.9525930000000002,6.154656,0.9254696394882396,0.3638669270833436,0.10538883128886553,r003s001l0015,116.0,0.10538883128886553
0.015,0.005,0.0,0.03,15.374191284179688,-0.133192,-2.9525930000000002,6.154656,0.8244685477477286,0.5572564759452124,0.09857400160222077,r0015s0005l003,148.0,0.09857400160222077
0.03,0.0,0.02,0.015,37.9935302734375,0.0,-2.8194,6.447617,0.5528379680264254,0.8284849939224823,-0.08934649379621658,r003t002l0015,141.0,0.08934649379621658
0.015,0.0,0.02,0.0,19.15757942199707,0.0,-2.8194,6.252317,0.5689291625203821,0.8181615238159063,-0.08325460336276089,r0015t002,102.0,0.08325460336276089
0.03,0.0,0.0067,0.03,36.41519165039063,0.0,-2.8194,6.447617,0.5825025980049601,0.8093219452105098,-0.07542355280778393,r003t00067l003,159.0,0.07542355280778393
0.015,0.005,0.0,-0.03,19.2492790222168,3.048,-2.61009,6.6005899999999995,0.3654816834030963,0.9278759910514018,-0.07395460991187675,r0015s0005l-003,4.0,0.07395460991187675
0.03,0.0,0.0133,0.03,41.86334228515625,0.0,-2.8194,6.447617,0.4919110067601593,0.8695261894783717,0.0441335160555942,r003t00133l003,168.0,0.0441335160555942
0.015,0.0,0.0067,0.015,20.974334716796875,0.0,-2.8194,6.447617,0.4908042918051892,0.8701699195150004,0.04376594928553612,r0015t00067l0015,120.0,0.04376594928553612
0.0,0.01,0.0,0.015,11.058392524719238,-0.132109,-2.95151,5.759958,0.6910075666248947,0.7217383303780743,0.040029056074449114,s001l0015,110.0,0.040029056074449114
