r,s,t,l,max_principal,loc_x,loc_y,loc_z,dir_x,dir_y,dir_z,root_name,order,abs_dir_z
0.015,0.01,0.0133,0.015,44.00684356689453,-0.132109,-2.95151,5.759958,0.6826266536340273,0.7307665451669431,0.0010527170464388394,r0015s001t00133l0015,131.0,0.0010527170464388394
0.015,0.01,0.02,-0.03,31.420787811279297,-0.133193,-2.9525930000000002,6.349957,0.7035671475205497,0.7106280377526778,-0.0010299949396385094,r0015s001t002l-003,32.0,0.0010299949396385094
0.015,0.01,0.0067,0.015,38.258209228515625,-0.132109,-2.95151,5.759958,0.6834986164998869,0.7299511282928229,0.000995764417428376,r0015s001t00067l0015,122.0,0.000995764417428376
0.03,0.01,0.02,-0.03,39.216163635253906,-0.133193,-2.9525930000000002,6.349957,0.7081444683482641,0.706066952683369,-0.0009328859392243348,r003s001t002l-003,35.0,0.0009328859392243348
0.015,0.005,0.0133,-0.015,22.43809509277344,-0.132109,-2.95151,5.759958,0.6904160535951989,0.7234120125169257,-0.0008562033885979802,r0015s0005t00133l-0015,58.0,0.0008562033885979802
0.0,0.005,0.0133,-0.03,18.43108558654785,3.048,-2.61009,6.6005899999999995,0.9490618711917336,0.3150886608576329,-0.0008369283057027256,s0005t00133l-003,19.0,0.0008369283057027256
0.0,0.005,0.0067,-0.03,21.38800621032715,3.048,-2.61009,6.6005899999999995,0.16724879175856544,0.9859144770620986,0.0006968318797837901,s0005t00067l-003,10.0,0.0006968318797837901
0.0,0.0,0.0,0.015,5.259772300720215,0.0,-2.8194,6.447617,0.398268326164864,0.9172687404043276,-0.000631071228512367,l0015,108.0,0.000631071228512367
0.0,0.0,0.0,0.03,10.51954460144043,0.0,-2.8194,6.447617,0.398268326164864,0.9172687404043276,-0.000631071228512367,l003,144.0,0.000631071228512367
0.0,0.005,0.0,-0.03,15.402073860168455,3.048,-2.61009,6.6005899999999995,0.16589381524516267,0.9861434867930222,-0.0005152854591056654,s0005l-003,1.0,0.0005152854591056654
