r,s,t,l,max_principal,loc_x,loc_y,loc_z,dir_x,dir_y,dir_z,root_name,order,abs_dir_z
0.03,0.005,0.0133,-0.03,31.284656524658203,3.048,-2.61009,6.6005899999999995,-0.9925813231377848,-0.11522637224384538,0.03879690835062982,r003s0005t00133l-003,25.0,0.03879690835062982
0.0,0.01,0.0,0.0,13.907882690429688,-0.132109,-2.95151,5.759958,0.6843116002307568,0.7283378813075095,0.03523584030655615,s001,74.0,0.03523584030655615
0.0,0.005,0.0,0.0,6.953941345214844,-0.132109,-2.95151,5.759958,0.6843116002307568,0.7283378813075095,0.03523584030655615,s0005,73.0,0.03523584030655615
0.0,0.01,0.0,0.03,13.79794692993164,-0.132109,-2.95151,5.759958,0.6845595262211126,0.7281976123266579,0.03326398144660385,s001l003,146.0,0.03326398144660385
0.0,0.005,0.0,0.015,6.89897346496582,-0.132109,-2.95151,5.759958,0.6845595262211126,0.7281976123266579,0.03326398144660385,s0005l0015,109.0,0.03326398144660385
0.0,0.0,0.02,-0.03,10.96810817718506,3.048,-2.60858,6.4107,0.16191906823876134,0.9862539921614656,-0.032943562136831944,t002l-003,27.0,0.032943562136831944
0.03,0.0,0.02,0.03,47.76531219482422,0.0,-2.8194,6.447617,0.4341406739139624,0.9003594457556938,0.029576066202765608,r003t002l003,177.0,0.029576066202765608
0.03,0.01,0.0067,-0.03,33.35138702392578,3.048,-2.61009,6.6005899999999995,-0.9726946687466044,-0.2303921603996561,0.028009530847776833,r003s001t00067l-003,17.0,0.028009530847776833
0.0,0.01,0.0067,-0.015,17.047529220581055,-0.132109,-2.95151,5.759958,0.6942457761745533,0.7192392190718067,0.02679081956137248,s001t00067l-0015,47.0,0.02679081956137248
0.015,0.0,0.0133,0.015,27.272232055664066,0.0,-2.8194,6.447617,0.4314544410421208,0.9017766810172768,-0.02541422590785878,r0015t00133l0015,129.0,0.02541422590785878
