r,s,t,l,max_principal,loc_x,loc_y,loc_z,dir_x,dir_y,dir_z,root_name,order,abs_dir_z
0.03,0.0,0.0133,0.015,33.846153259277344,0.0,-2.8194,6.447617,0.4306401035979747,0.4300697515319411,0.7934665147253411,r003t00133l0015,132.0,0.7934665147253411
0.03,0.005,0.0,-0.03,31.39420509338379,3.048,-2.61009,6.6005899999999995,-0.6704260923309663,-0.02366440167015089,-0.7415988476362572,r003s0005l-003,7.0,0.7415988476362572
0.015,0.0,0.0133,0.0,16.19691276550293,0.0,-2.8194,6.447617,0.5564467975871291,0.3804176030457495,0.738680857169018,r0015t00133,93.0,0.738680857169018
0.03,0.0,0.02,-0.03,27.28869438171387,3.048,-2.61009,6.6005899999999995,0.6922217049990681,0.02170880959095872,0.7213583289283674,r003t002l-003,33.0,0.7213583289283674
0.015,0.0,0.0133,-0.03,16.463947296142578,3.048,-2.61009,6.6005899999999995,0.6868531119389379,0.1433780595083488,-0.7125135329742286,r0015t00133l-003,21.0,0.7125135329742286
0.03,0.005,0.0,-0.015,29.606182098388672,3.048,-2.61009,6.6005899999999995,-0.7809035893540021,-0.03084749229842734,0.6238894263833411,r003s0005l-0015,43.0,0.6238894263833411
0.015,0.0,0.0133,-0.015,13.583261489868164,-0.133192,-2.9525930000000002,6.154656,0.8763571722290411,0.2170731660582098,0.4299736587980521,r0015t00133l-0015,57.0,0.4299736587980521
0.03,0.01,0.0,-0.015,31.09514808654785,3.048,-2.61009,6.6005899999999995,-0.903278056998066,-0.06907111930537267,0.4234594812065277,r003s001l-0015,44.0,0.4234594812065277
0.015,0.0,0.02,-0.03,15.41280746459961,3.048,-2.61009,6.6005899999999995,0.9176671684291284,0.10310614793348433,0.3837396125572447,r0015t002l-003,30.0,0.3837396125572447
0.015,0.005,0.0,-0.015,16.423362731933597,3.048,-2.61009,6.6005899999999995,-0.935957756196121,-0.08165051487564802,0.3425146303982708,r0015s0005l-0015,40.0,0.3425146303982708
