r,s,t,l,max_principal,loc_x,loc_y,loc_z,dir_x,dir_y,dir_z,root_name,order,abs_dir_z
0.0,0.01,0.0133,-0.015,22.74401092529297,-0.132109,-2.95151,5.759958,0.6890897077558227,0.7244169642181445,0.019376186878803613,s001t00133l-0015,56.0,0.019376186878803613
0.0,0.005,0.0133,0.03,39.88734817504883,0.0,-2.8194,6.447617,0.4496883368925596,0.8929790190427089,0.01920602021047236,s0005t00133l003,163.0,0.01920602021047236
0.015,0.0,0.02,0.015,34.24126434326172,0.0,-2.8194,6.447617,0.43404678351954185,0.9007081368978748,-0.018117445799536586,r0015t002l0015,138.0,0.018117445799536586
0.0,0.01,0.02,0.03,49.59289169311523,0.0,-2.8194,6.447617,0.4707372490140947,0.8820924194611689,0.017871931059162478,s001t002l003,173.0,0.017871931059162478
0.015,0.005,0.02,0.03,50.9716911315918,0.0,-2.8194,6.447617,0.466022040914085,0.8845935211768519,0.017825814825970766,r0015s0005t002l003,175.0,0.017825814825970766
0.0,0.005,0.02,0.03,46.9897346496582,0.0,-2.8194,6.447617,0.4501825028134135,0.892761000614622,0.01770621196727357,s0005t002l003,172.0,0.01770621196727357
0.0,0.005,0.0133,0.015,28.29274940490723,0.0,-2.8194,6.447617,0.4685821136914313,0.8832789823904792,0.015781064466949213,s0005t00133l0015,127.0,0.015781064466949213
0.0,0.0,0.0133,-0.015,4.199862480163573,-0.132109,-2.95151,5.759958,0.6642779192516782,0.7473244838940376,-0.015522943250914462,t00133l-0015,54.0,0.015522943250914462
0.0,0.01,0.0067,0.0,28.524763107299805,-0.132109,-2.95151,5.759958,0.6821453570828442,0.7310653362020859,0.014872323760926181,s001t00067,83.0,0.014872323760926181
0.0,0.01,0.0067,0.015,29.391490936279297,-0.132109,-2.95151,5.759958,0.6817232872951116,0.7314695071483749,0.014342931069352903,s001t00067l0015,119.0,0.014342931069352903
