r,s,t,l,max_principal,loc_x,loc_y,loc_z,dir_x,dir_y,dir_z,root_name,order,abs_dir_z
0.03,0.01,0.02,-0.015,45.26723861694336,-0.133193,-2.9525930000000002,6.349957,0.7158099380752831,0.6982949780062769,0.0005062053659092692,r003s001t002l-0015,71.0,0.0005062053659092692
0.015,0.005,0.02,0.015,40.55982208251953,-0.132109,-2.95151,5.759958,0.6807127319152249,0.7325503241530879,0.0004463089929268519,r0015s0005t002l0015,139.0,0.0004463089929268519
0.015,0.005,0.02,-0.015,28.24939346313477,-0.132109,-2.95151,5.759958,0.6868874005060686,0.7267637653268206,0.0003583768934078171,r0015s0005t002l-0015,67.0,0.0003583768934078171
0.015,0.01,0.0,-0.03,23.69430160522461,3.048,-2.61009,6.6005899999999995,0.9342532722830053,0.35661013417629595,0.00018823193461179659,r0015s001l-003,5.0,0.00018823193461179659
0.015,0.01,0.02,-0.015,37.54301071166992,-0.132109,-2.95151,5.759958,0.6872805719313637,0.7263920411338854,-0.00013424993588858125,r0015s001t002l-0015,68.0,0.00013424993588858125
0.015,0.01,0.0133,-0.015,31.722370147705078,-0.133193,-2.9525930000000002,6.349957,0.7097070684786201,0.7044968911668503,-8.536818064577468e-05,r0015s001t00133l-0015,59.0,8.536818064577468e-05
0.03,0.01,0.0133,-0.015,39.500450134277344,-0.133193,-2.9525930000000002,6.349957,0.7126934693112145,0.7014755998133835,-4.0836245166186174e-05,r003s001t00133l-0015,62.0,4.0836245166186174e-05
0.0,0.005,0.0,-0.015,9.894330024719238,3.048,-2.61009,6.6005899999999995,0.18266930583587154,0.9831744114945764,-3.588501327944118e-05,s0005l-0015,37.0,3.588501327944118e-05
0.0,0.01,0.0,-0.03,19.78866004943848,3.048,-2.61009,6.6005899999999995,0.18266930583587154,0.9831744114945764,-3.588501327944118e-05,s001l-003,2.0,3.588501327944118e-05
